__time,/posePub_merged/header/seq,/posePub_merged/header/stamp,/posePub_merged/pose/orientation/pitch_deg,/posePub_merged/pose/orientation/roll_deg,/posePub_merged/pose/orientation/w,/posePub_merged/pose/orientation/x,/posePub_merged/pose/orientation/y,/posePub_merged/pose/orientation/yaw_deg,/posePub_merged/pose/orientation/z,/posePub_merged/pose/position/x,/posePub_merged/pose/position/y,/posePub_merged/pose/position/z
1617333602.207909,13708.000000000,1617333602.207613945,1.431062666,-175.209695183,0.041705515,-0.999026358,-0.005986291,0.746499914,0.012749046,0.001670667,-0.000207194,0.000000000
1617333602.215974,13709.000000000,1617333602.215614080,1.433315411,-175.208550488,0.041715559,-0.999025762,-0.005969424,0.744674257,0.012768080,0.001673387,-0.000211354,0.000000000
1617333602.224096,13710.000000000,1617333602.223615408,1.433920654,-175.205473134,0.041742377,-0.999024630,-0.005966913,0.744450944,0.012773436,0.001667223,-0.000222730,0.000000000
1617333602.231969,13711.000000000,1617333602.231649876,1.434056897,-175.201958239,0.041773062,-0.999023318,-0.005962410,0.743985128,0.012774637,0.001666876,-0.000235645,0.000000000
1617333602.240028,13712.000000000,1617333602.239611864,1.432801020,-175.197328623,0.041813552,-0.999021769,-0.005958233,0.743512458,0.012763756,0.001660216,-0.000252714,0.000000000
1617333602.247918,13713.000000000,1617333602.247613907,1.430033092,-175.189666407,0.041880488,-0.999019265,-0.005961047,0.743816635,0.012740135,0.001646437,-0.000281015,0.000000000
1617333602.255987,13714.000000000,1617333602.255616665,1.426887288,-175.185835988,0.041913982,-0.999018133,-0.005968945,0.744638898,0.012713210,0.001638719,-0.000295174,0.000000000
1617333602.263923,13715.000000000,1617333602.263613939,1.419655850,-175.174262288,0.042015657,-0.999014854,-0.005944275,0.741651122,0.012649674,0.001620578,-0.000337893,0.000000000
1617333602.272101,13716.000000000,1617333602.271633148,1.415517937,-175.162563664,0.042118035,-0.999011040,-0.005933577,0.740397030,0.012613745,0.001616722,-0.000380886,0.000000000
1617333602.280013,13717.000000000,1617333602.279620886,1.417237799,-175.151530367,0.042214148,-0.999006808,-0.005929422,0.740132630,0.012629213,0.001621587,-0.000421321,0.000000000
1617333602.288020,13718.000000000,1617333602.287616014,1.414114950,-175.141587909,0.042301126,-0.999003530,-0.005920791,0.739135558,0.012602135,0.001620153,-0.000457822,0.000000000
1617333602.295952,13719.000000000,1617333602.295617104,1.413765093,-175.127743026,0.042421829,-0.998998523,-0.005921016,0.739321150,0.012599870,0.001622646,-0.000508659,0.000000000
1617333602.303975,13720.000000000,1617333602.303612232,1.412447201,-175.120412491,0.042485822,-0.998995841,-0.005919850,0.739223675,0.012588722,0.001621881,-0.000535584,0.000000000
1617333602.312073,13721.000000000,1617333602.311617374,1.412667277,-175.110099643,0.042575683,-0.998992026,-0.005921285,0.739527584,0.012591287,0.001621599,-0.000573435,0.000000000
1617333602.320058,13722.000000000,1617333602.319634676,1.416266289,-175.101723702,0.042648520,-0.998988569,-0.005916251,0.739209897,0.012622977,0.001632401,-0.000604023,0.000000000
1617333602.327915,13723.000000000,1617333602.327613354,1.418899441,-175.091967893,0.042733412,-0.998984635,-0.005913879,0.739174150,0.012646422,0.001636236,-0.000639769,0.000000000
1617333602.335993,13724.000000000,1617333602.335628748,1.423710120,-175.084544133,0.042797744,-0.998981297,-0.005918587,0.740015037,0.012689057,0.001644434,-0.000666920,0.000000000
1617333602.343952,13725.000000000,1617333602.343614817,1.424546333,-175.076240077,0.042870190,-0.998978138,-0.005909113,0.739069863,0.012696422,0.001643200,-0.000697401,0.000000000
1617333602.352084,13726.000000000,1617333602.351720810,1.426053432,-175.070294783,0.042921897,-0.998975754,-0.005910346,0.739351855,0.012709972,0.001642823,-0.000719228,0.000000000
1617333602.359974,13727.000000000,1617333602.359611511,1.427260254,-175.066163851,0.042957515,-0.998973906,-0.005934581,0.742236429,0.012721787,0.001640358,-0.000734413,0.000000000
1617333602.367946,13728.000000000,1617333602.367615223,1.428467954,-175.057274651,0.043035142,-0.998970568,-0.005916897,0.740373316,0.012732076,0.001634994,-0.000767091,0.000000000
1617333602.376377,13729.000000000,1617333602.375617027,1.426896758,-175.049594923,0.043102171,-0.998967826,-0.005917835,0.740510796,0.012718827,0.001630044,-0.000795342,0.000000000
1617333602.383991,13730.000000000,1617333602.383614302,1.426846913,-175.046463011,0.043129623,-0.998966753,-0.005906170,0.739210364,0.012718066,0.001625830,-0.000806894,0.000000000
1617333602.392303,13731.000000000,1617333602.391708612,1.429914798,-175.043773899,0.043152768,-0.998965323,-0.005913230,0.740187489,0.012745316,0.001633639,-0.000816659,0.000000000
1617333602.400081,13732.000000000,1617333602.399616957,1.427330356,-175.036797210,0.043213673,-0.998962939,-0.005919175,0.740846303,0.012723395,0.001628029,-0.000842358,0.000000000
1617333602.408006,13733.000000000,1617333602.407612562,1.421779983,-175.031358984,0.043261304,-0.998961508,-0.005930088,0.741926061,0.012675699,0.001613219,-0.000862509,0.000000000
1617333602.416149,13734.000000000,1617333602.415635347,1.417467196,-175.026593999,0.043302882,-0.998959959,-0.005948617,0.743924389,0.012639103,0.001607758,-0.000880062,0.000000000
1617333602.424040,13735.000000000,1617333602.423614025,1.417335020,-175.024223046,0.043323323,-0.998959005,-0.005967228,0.746083555,0.012638890,0.001605893,-0.000888784,0.000000000
