__time,/camera/pose/header/seq,/camera/pose/header/stamp,/camera/pose/pose/orientation/pitch_deg,/camera/pose/pose/orientation/roll_deg,/camera/pose/pose/orientation/w,/camera/pose/pose/orientation/x,/camera/pose/pose/orientation/y,/camera/pose/pose/orientation/yaw_deg,/camera/pose/pose/orientation/z,/camera/pose/pose/position/x,/camera/pose/pose/position/y,/camera/pose/pose/position/z
1617333602.356819,20127.000000000,1617333602.356210470,0.070965979,-1.516095033,0.999911547,-0.013229258,0.000635654,-0.142164106,-0.001232313,0.001747720,-0.000175090,-0.001062196
1617333602.362160,20128.000000000,1617333602.361465216,0.074110594,-1.514816380,0.999911666,-0.013218069,0.000663021,-0.141653923,-0.001227506,0.001722755,-0.000173544,-0.001038202
1617333602.367207,20129.000000000,1617333602.366326094,0.077325645,-1.515104821,0.999911666,-0.013220550,0.000691128,-0.142084788,-0.001230893,0.001697573,-0.000171937,-0.001009110
1617333602.371922,20130.000000000,1617333602.371301651,0.082183189,-1.515277141,0.999911606,-0.013222001,0.000733490,-0.141864311,-0.001228408,0.001671241,-0.000170371,-0.000978877
1617333602.376868,20131.000000000,1617333602.376255512,0.083943585,-1.511762821,0.999911964,-0.013191310,0.000748932,-0.142892039,-0.001237195,0.001812840,-0.000186263,-0.001116602
1617333602.381794,20132.000000000,1617333602.381209373,0.088400476,-1.511784560,0.999911964,-0.013191462,0.000787642,-0.141320409,-0.001222968,0.001815679,-0.000186384,-0.001099577
1617333602.386714,20133.000000000,1617333602.386209965,0.090901542,-1.511266258,0.999912024,-0.013186911,0.000809475,-0.141447551,-0.001223793,0.001812194,-0.000186613,-0.001084414
1617333602.391747,20134.000000000,1617333602.391192675,0.093411977,-1.510473787,0.999912143,-0.013179980,0.000831198,-0.139932827,-0.001210293,0.001807033,-0.000186844,-0.001067541
1617333602.396857,20135.000000000,1617333602.396340609,0.094949729,-1.510206270,0.999912083,-0.013177619,0.000844756,-0.141177008,-0.001220974,0.001791000,-0.000185406,-0.001048354
1617333602.401718,20136.000000000,1617333602.401240349,0.097168936,-1.509867954,0.999912143,-0.013174648,0.000864043,-0.140532676,-0.001215099,0.001778523,-0.000184213,-0.001027964
1617333602.406693,20137.000000000,1617333602.406214237,0.099179157,-1.509340266,0.999912143,-0.013170021,0.000881592,-0.140648948,-0.001215887,0.001788329,-0.000177745,-0.001100669
1617333602.411760,20138.000000000,1617333602.411223412,0.101909884,-1.508633932,0.999912262,-0.013163836,0.000905305,-0.139718212,-0.001207457,0.001774458,-0.000168996,-0.001079603
1617333602.416808,20139.000000000,1617333602.416280270,0.103617671,-1.509564689,0.999912143,-0.013171934,0.000920297,-0.140414454,-0.001213329,0.001758407,-0.000161725,-0.001057773
1617333602.421731,20140.000000000,1617333602.421220779,0.105321591,-1.509791022,0.999912083,-0.013173893,0.000935122,-0.140013743,-0.001209634,0.001739878,-0.000153047,-0.001034194
1617333602.427570,20141.000000000,1617333602.426382065,0.107001705,-1.510144604,0.999912083,-0.013176954,0.000949880,-0.140833184,-0.001216589,0.001720635,-0.000146492,-0.001014583
1617333602.432123,20142.000000000,1617333602.431362391,0.108368182,-1.510759725,0.999911904,-0.013182302,0.000961862,-0.141285821,-0.001220376,0.001700613,-0.000137976,-0.000991804
1617333602.436828,20143.000000000,1617333602.436255455,0.110770696,-1.510511558,0.999911904,-0.013180102,0.000982934,-0.142243775,-0.001228461,0.001679591,-0.000128993,-0.000967532
1617333602.441751,20144.000000000,1617333602.441239595,0.112696326,-1.511910800,0.999911726,-0.013192293,0.000999718,-0.141952703,-0.001225687,0.001782182,-0.000162089,-0.001094517
1617333602.446693,20145.000000000,1617333602.446213007,0.112979090,-1.512436031,0.999911666,-0.013196883,0.001002064,-0.140848132,-0.001216011,0.001776830,-0.000156137,-0.001082614
1617333602.451964,20146.000000000,1617333602.451337576,0.115160566,-1.514097213,0.999911487,-0.013211369,0.001020936,-0.139279591,-0.001202059,0.001770134,-0.000149824,-0.001070544
1617333602.456760,20147.000000000,1617333602.456264973,0.114414900,-1.514637726,0.999911487,-0.013216099,0.001014369,-0.138705310,-0.001197129,0.001758787,-0.000142892,-0.001057660
1617333602.462051,20148.000000000,1617333602.461465597,0.114781785,-1.514225201,0.999911547,-0.013212487,0.001017676,-0.139655402,-0.001205380,0.001748755,-0.000135394,-0.001042104
1617333602.466833,20149.000000000,1617333602.466345072,0.114598401,-1.514826543,0.999911427,-0.013217730,0.001016150,-0.140249462,-0.001210580,0.001735860,-0.000127600,-0.001026893
1617333602.471771,20150.000000000,1617333602.471221209,0.114861850,-1.516046406,0.999911249,-0.013228382,0.001018323,-0.139050387,-0.001200076,0.001721894,-0.000119476,-0.001011215
