__time,/orientation/angular_velocity/x,/orientation/angular_velocity/y,/orientation/angular_velocity/z,/orientation/angular_velocity_covariance[0;0],/orientation/angular_velocity_covariance[0;1],/orientation/angular_velocity_covariance[0;2],/orientation/angular_velocity_covariance[1;1],/orientation/angular_velocity_covariance[1;2],/orientation/angular_velocity_covariance[2;2],/orientation/header/seq,/orientation/header/stamp,/orientation/linear_acceleration/x,/orientation/linear_acceleration/y,/orientation/linear_acceleration/z,/orientation/linear_acceleration_covariance[0;0],/orientation/linear_acceleration_covariance[0;1],/orientation/linear_acceleration_covariance[0;2],/orientation/linear_acceleration_covariance[1;1],/orientation/linear_acceleration_covariance[1;2],/orientation/linear_acceleration_covariance[2;2],/orientation/orientation/pitch_deg,/orientation/orientation/roll_deg,/orientation/orientation/w,/orientation/orientation/x,/orientation/orientation/y,/orientation/orientation/yaw_deg,/orientation/orientation/z,/orientation/orientation_covariance[0;0],/orientation/orientation_covariance[0;1],/orientation/orientation_covariance[0;2],/orientation/orientation_covariance[1;1],/orientation/orientation_covariance[1;2],/orientation/orientation_covariance[2;2]
1617333602.304022,0.016091935,0.000679980,0.000156207,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13720.000000000,1617333602.303635597,-0.023920000,-0.048980001,-1.003494978,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.412447201,-175.120412491,0.042485822,-0.998995841,-0.005919850,0.739223675,0.012588722,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.312206,0.022581011,0.000401484,-0.000702728,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13721.000000000,1617333602.311643124,-0.025134999,-0.049210001,-1.002195001,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.412667277,-175.110099643,0.042575683,-0.998992026,-0.005921285,0.739527584,0.012591287,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.320184,0.018351031,-0.006122149,0.001221730,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13722.000000000,1617333602.319664478,-0.025559999,-0.049435001,-1.005095005,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.416266289,-175.101723702,0.042648520,-0.998988569,-0.005916251,0.739209897,0.012622977,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.328152,0.021470690,-0.002009339,0.000251095,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13723.000000000,1617333602.327636957,-0.026395001,-0.049440000,-1.003990054,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.418899441,-175.091967893,0.042733412,-0.998984635,-0.005913879,0.739174150,0.012646422,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.336347,0.016203346,-0.004821588,-0.001432915,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13724.000000000,1617333602.335658312,-0.027310001,-0.049440000,-1.004179955,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.423710120,-175.084544133,0.042797744,-0.998981297,-0.005918587,0.740015037,0.012689057,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.343998,0.018306816,0.001148718,0.001985661,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13725.000000000,1617333602.343638897,-0.026090000,-0.048939999,-1.002844930,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.424546333,-175.076240077,0.042870190,-0.998978138,-0.005909113,0.739069863,0.012696422,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.352768,0.012849346,0.000334231,-0.000641467,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13726.000000000,1617333602.351745605,-0.026510000,-0.050700001,-1.004410028,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.426053432,-175.070294783,0.042921897,-0.998975754,-0.005910346,0.739351855,0.012709972,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.360081,0.009022770,0.001054586,-0.006526542,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13727.000000000,1617333602.359637976,-0.026740000,-0.050315000,-1.004334927,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.427260254,-175.066163851,0.042957515,-0.998973906,-0.005934581,0.742236429,0.012721787,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.368106,0.019590041,0.003793880,0.003770784,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13728.000000000,1617333602.367637396,-0.027465001,-0.049739998,-1.003265023,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.428467954,-175.057274651,0.043035142,-0.998970568,-0.005916897,0.740373316,0.012732076,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.376791,0.016821891,0.003135018,-0.000574039,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13729.000000000,1617333602.375643492,-0.024990000,-0.048824999,-1.005479932,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.426896758,-175.049594923,0.043102171,-0.998967826,-0.005917835,0.740510796,0.012718827,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.384145,0.006940418,0.002844945,0.002616481,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13730.000000000,1617333602.383639574,-0.026055001,-0.048944999,-1.004600048,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.426846913,-175.046463011,0.043129623,-0.998966753,-0.005906170,0.739210364,0.012718066,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.392404,0.005774422,-0.004704477,-0.001717753,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13731.000000000,1617333602.391735077,-0.026015000,-0.049474999,-1.006435037,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.429914798,-175.043773899,0.043152768,-0.998965323,-0.005913230,0.740187489,0.012745316,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.400252,0.015456111,0.003453890,-0.001768251,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13732.000000000,1617333602.399643183,-0.024220001,-0.049169999,-1.003340006,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.427330356,-175.036797210,0.043213673,-0.998962939,-0.005919175,0.740846303,0.012723395,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.408231,0.011873475,0.008771152,-0.003139963,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13733.000000000,1617333602.407634974,-0.023730000,-0.049360000,-1.004145026,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.421779983,-175.031358984,0.043261304,-0.998961508,-0.005930088,0.741926061,0.012675699,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.416661,0.010311753,0.002996730,-0.004646474,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13734.000000000,1617333602.415667772,-0.022505000,-0.050090000,-1.003494978,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.417467196,-175.026593999,0.043302882,-0.998959959,-0.005948617,0.743924389,0.012639103,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.424145,0.005100143,0.000770272,-0.004836366,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13735.000000000,1617333602.423638582,-0.025180001,-0.049210001,-1.001510024,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.417335020,-175.024223046,0.043323323,-0.998959005,-0.005967228,0.746083555,0.012638890,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.432506,-0.000351509,0.000099891,0.002124938,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13736.000000000,1617333602.431642532,-0.023344999,-0.049855001,-1.002160072,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.415659546,-175.024406516,0.043321934,-0.998959303,-0.005959428,0.745113577,0.012623908,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.440434,0.007549421,-0.000998910,0.004167323,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13737.000000000,1617333602.439638615,-0.024529999,-0.050274998,-1.000635028,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.415978938,-175.021011450,0.043351714,-0.998958051,-0.005942778,0.743260400,0.012626167,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.448221,0.007733786,0.008419584,0.000451633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13738.000000000,1617333602.447636604,-0.024259999,-0.052150000,-1.001014948,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.411634130,-175.017497674,0.043382671,-0.998957217,-0.005939345,0.742721690,0.012588270,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.456256,0.011366340,0.002109230,0.003665191,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13739.000000000,1617333602.455641031,-0.024185000,-0.051959999,-1.000635028,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.410234871,-175.012355452,0.043427780,-0.998955607,-0.005924060,0.740971913,0.012575677,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.464353,0.007046069,0.001511804,0.006543414,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13740.000000000,1617333602.463636637,-0.024950000,-0.050925002,-1.001890063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.410081479,-175.009217617,0.043455474,-0.998954535,-0.005897341,0.737939813,0.012573351,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.472446,0.000893259,-0.001640493,-0.007018086,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13741.000000000,1617333602.471753359,-0.024835000,-0.051500000,-1.002884984,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.410653720,-175.008722506,0.043459393,-0.998954117,-0.005925846,0.741240881,0.012579617,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.480240,0.002672041,0.003023550,-0.000010647,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13742.000000000,1617333602.479639292,-0.027195001,-0.050275002,-1.004410028,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.412067406,-175.007523619,0.043469768,-0.998953462,-0.005924185,0.741127223,0.012591959,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.488217,0.002103471,0.001456070,-0.000312298,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13743.000000000,1617333602.487636089,-0.025175000,-0.049895000,-1.004065037,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.411831722,-175.006561530,0.043478165,-0.998953223,-0.005924902,0.741211244,0.012589987,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.496116,-0.010640225,-0.007370699,0.001489697,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13744.000000000,1617333602.495674849,-0.025900001,-0.048409998,-1.006850004,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.416350592,-175.011428597,0.043435499,-0.998954535,-0.005920360,0.740826192,0.012628982,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.504039,-0.008788430,0.004262617,0.001439140,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13745.000000000,1617333602.503637314,-0.025865000,-0.048675001,-1.006469965,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.415574402,-175.015434226,0.043400716,-0.998956144,-0.005913959,0.740007463,0.012621698,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.512139,-0.005736025,0.003453890,0.001215506,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13746.000000000,1617333602.511653662,-0.027465001,-0.048145000,-1.005630016,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.416995594,-175.018071847,0.043377712,-0.998957038,-0.005907688,0.739316656,0.012633690,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.520037,-0.000067254,-0.001986243,0.005718280,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13747.000000000,1617333602.519638777,-0.025939999,-0.047070000,-1.006435037,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.419230894,-175.018163773,0.043377053,-0.998956978,-0.005884924,0.736801688,0.012652219,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.528239,-0.005791759,-0.000703077,-0.001561546,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13748.000000000,1617333602.527635574,-0.026699999,-0.046620000,-1.002500057,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.421552390,-175.020785597,0.043353975,-0.998957694,-0.005890760,0.737538962,0.012672601,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.536784,0.000937416,0.010707478,0.001506510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13749.000000000,1617333602.535642385,-0.026573332,-0.046440002,-1.004209995,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.418668658,-175.020384741,0.043357771,-0.998957992,-0.005882142,0.736429786,0.012647064,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.544083,-0.005311444,-0.002114990,-0.001890715,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13750.000000000,1617333602.543638468,-0.025405001,-0.046459999,-1.002769947,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.420132908,-175.022781617,0.043336678,-0.998958588,-0.005890065,0.737372204,0.012660061,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.552639,0.000234398,-0.001066163,0.000078133,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13751.000000000,1617333602.551815510,-0.025710000,-0.046234999,-1.003075004,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.421527408,-175.022671009,0.043337557,-0.998958409,-0.005889583,0.737378979,0.012672226,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.561337,0.003281045,0.001775000,-0.000675210,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13752.000000000,1617333602.559643030,-0.023425000,-0.046349999,-1.002349973,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.419022577,-175.021201877,0.043350492,-0.998958111,-0.005892387,0.737610188,0.012650553,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
